Email,Password,user_name,cth_id,courthouse_name,courthouse_code,Type,cas_id1,hea_id1,cas_id2,hea_id2,cas_id3,hea_id3,cas_id4,hea_id4,cas_id5,hea_id5
PerfCourtClerk01@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk01,85,"Manchester Crown Square",85,CourtClerk,7657652,19149285,7634900,19092530,7725892,19320322,7814372,19541595,7666228,19170683
PerfCourtClerk02@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk02,4,"Barnstaple",4,CourtClerk,128792,321769,133880,334438,128696,321523,130376,325688,127528,318579
PerfCourtClerk03@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk03,5,"Barons Court Walsall",5,CourtClerk,159128,397813,157768,394452,162776,406951,160888,402239,154904,387235
PerfCourtClerk04@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk04,12,"Bolton Stadium",12,CourtClerk,512124,1280914,517452,1294249,522108,1305900,508924,1273053,516668,1292252
PerfCourtClerk05@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk05,1,"Birmingham Crown Court sitting at 4 Newton Street",1,CourtClerk,315784,789856,261464,654167,265352,663901,252280,631161,246888,617597
PerfCourtClerk06@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk06,39,"Croydon Crown Court sitting at Barclay Road",39,CourtClerk,915465,2290286,904633,2263087,903817,2261008,910649,2278264,920297,2302324
PerfCourtClerk07@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk07,46,"Durham",46,CourtClerk,10452733,26136244,10451677,26133636,10433693,26088575,10434029,26089419,10453149,26137279
PerfCourtClerk08@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk08,15,"Crown Court sitting at Brighton Magistrates Court",15,CourtClerk,2771019,6930635,2765787,6917706,2776955,6945555,2756523,6894606,2775227,6941177
PerfCourtClerk09@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk09,52,"Guildford Crown Court Site B",52,CourtClerk,83640,209037,75992,190084,13257357,28830718,81960,204838,76728,191902
PerfCourtClerk100@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk100,94,"Newport Gwent",94,CourtClerk,5273869,13190136,5270797,13182500,5283325,13213886,5239309,13103675,5245693,13119674
PerfCourtClerk101@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk101,105,"Preston Invincibles Pavilion",105,CourtClerk,320810,802478,325130,813329,326954,817917,323578,809422,329786,825007
PerfCourtClerk102@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk102,106,"Preston Tom Finney Stand",106,CourtClerk,166552,416420,174840,437319,166536,416386,172072,430334,168312,420857
PerfCourtClerk103@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk103,107,"Portsmouth Combined Court Centre",107,CourtClerk,8281076,20709572,8260676,20658403,8285188,20719768,8264628,20668321,8267700,20675948
PerfCourtClerk104@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk104,108,"Preston Combined Court Centre",108,CourtClerk,9859080,24653523,9854808,24642832,9911912,24785562,9913912,24790597,9927032,24823395
PerfCourtClerk105@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk105,109,"Preston Session House",109,CourtClerk,2498516,6249062,2518772,6299588,2515284,6290874,2494116,6238159,2509796,6277236
PerfCourtClerk106@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk106,110,"Prospero House",110,CourtClerk,4225952,10570342,4214752,10542279,4243136,10613426,4212384,10536298,4241456,10609232
PerfCourtClerk107@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk107,14,"Bradford Combined Court Centre",14,CourtClerk,6907280,17272743,7004000,17514008,6902944,17261881,6962592,17410845,6987488,17472766
PerfCourtClerk108@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk108,13,"Bournemouth Combined Court Centre",13,CourtClerk,9987402,24974424,9975962,24945735,10018058,25051076,10056122,25145857,10108698,25276880
PerfCourtClerk109@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk109,21,"Cardiff",21,CourtClerk,10394140,25990011,10312828,25787181,10394668,25991289,10289660,25729132,10296284,25745743
PerfCourtClerk10@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk10,57,"Hove Trial Centre",57,CourtClerk,5001614,12509382,4965630,12419595,4958798,12402619,4963758,12414908,4995182,12493398
PerfCourtClerk110@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk110,24,"Central Criminal Court",24,CourtClerk,4874116,12190950,4672660,11686495,4789476,11979191,4766596,11921547,4811572,12034515
PerfCourtClerk111@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk111,115,"Reading Crown Court",115,CourtClerk,6422555,16061044,6439019,16102057,6480539,16205819,6486635,16221064,6407547,16023455
PerfCourtClerk112@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk112,116,"Reading Magistrates Court",116,CourtClerk,4393154,10987865,4370818,10931955,4388754,10976868,4412514,11036139,4416018,11044934
PerfCourtClerk113@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk113,117,"Salisbury Combined Court Centre",117,CourtClerk,890985,2228805,866105,2166298,830841,2078355,892889,2233642,845465,2114832
PerfCourtClerk114@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk114,118,"Shrewsbury",118,CourtClerk,812680,2032997,808840,2023279,824248,2061932,826600,2067720,823304,2059575
PerfCourtClerk115@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk115,119,"Snaresbrook",119,CourtClerk,1996151,4993082,2151591,5381436,2191159,5480326,2056071,5142972,2160231,5403075
PerfCourtClerk116@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk116,120,"Southampton Combined Court Centre",120,CourtClerk,5989926,14980132,5982134,14960772,5981734,14959783,5971094,14933379,5987702,14974644
PerfCourtClerk117@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk117,121,"Southend",121,CourtClerk,963946,2411702,949722,2376148,957114,2394564,955274,2390001,971530,2430581
PerfCourtClerk118@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk118,122,"Southwark",122,CourtClerk,7496131,18745212,7459411,18653361,7538675,18851564,7532467,18836084,7575379,18943629
PerfCourtClerk119@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk119,123,"Stafford Combined Court Centre",123,CourtClerk,1141118,2854756,1112350,2782706,1116942,2794158,1142398,2857976,1103102,2759816
PerfCourtClerk11@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk11,21,"Cardiff",21,CourtClerk,10360396,25905921,10368044,25925007,10334524,25841301,10414108,26039950,10417740,26048876
PerfCourtClerk120@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk120,134,"Teesside Combined Court Centre",134,CourtClerk,7142208,17860305,7079104,17702558,7068496,17676082,7132768,17836784,7131376,17833335
PerfCourtClerk121@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk121,144,"Wolverhampton Combined Court Centre",144,CourtClerk,8382328,20962244,8311608,20785622,8315096,20794353,8370008,20931517,8319784,20806048
PerfCourtClerk122@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk122,87,"Manchester Minshull Street",87,CourtClerk,8782876,21962661,8794348,21991511,8776412,21946660,8822108,22060818,8797804,22000193
PerfCourtClerk123@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk123,94,"Newport Gwent",94,CourtClerk,5297965,13250682,5294877,13242897,5279213,13203538,5288253,13226285,5294877,13242898
PerfCourtClerk124@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk124,119,"Snaresbrook",119,CourtClerk,2007175,5020788,2233591,5586290,2126839,5319482,2206295,5518045,2244871,5614384
