Email,Password,user_name,cth_id,courthouse_name,courthouse_code,Type,cas_id1,hea_id1,cas_id2,hea_id2,cas_id3,hea_id3,cas_id4,hea_id4,cas_id5,hea_id5
PerfCourtManager01@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager01,110,"Prospero House",110,CourtManager,4222080,10560527,4248096,10625849,4247632,10624655,4235008,10593006,4240352,10606515
PerfCourtManager02@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager02,26,"Chelmsford New Magistrates",26,CourtManager,1005628,2516027,1021964,2556982,1000380,2502989,1012700,2533754,1020556,2553460
PerfCourtManager03@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager03,140,"Warrington Combined Court Centre",140,CourtManager,5128523,12827020,5127451,12824318,5142331,12861310,5138907,12852906,5114187,12790941
PerfCourtManager04@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager04,68,"Leeds Combined Court Centre",68,CourtManager,3166722,7920956,3311026,8281220,3152226,7884648,3298002,8248684,3134834,7841133
PerfCourtManager05@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager05,1,"Birmingham Crown Court sitting at 4 Newton Street",1,CourtManager,235960,590173,313176,783400,255480,639250,246984,617832,263464,659162
PerfCourtManager06@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager06,85,"Manchester Crown Square",85,CourtManager,7763988,19415398,7819508,19554368,7640036,19105338,7733188,19338647,7721812,19310065
PerfCourtManager07@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager07,10,"Blackfriars",10,CourtManager,9215990,23044002,9234502,23090566,9165682,22918525,9262598,23160790,9167074,22922015
PerfCourtManager08@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager08,98,"Nottingham",98,CourtManager,8924208,22315706,8975760,22444094,8939456,22354048,9002048,22509677,9003664,22513664
PerfCourtManager09@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager09,40,"Croydon",40,CourtManager,8542875,21363058,8519563,21304865,8591755,21485194,8590715,21482600,8552475,21387199
PerfCourtManager100@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager100,84,"Maidstone CC Great Danes Hotel",84,CourtManager,487004,1218343,483500,1209511,487212,1218895,485468,1214449,495244,1238776
PerfCourtManager10@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager10,27,"Chester",27,CourtManager,4459378,11153051,4437218,11097770,4428178,11075324,4461554,11158462,4456274,11145329
PerfCourtManager11@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager11,69,"Leeds Cloth Hall Court",69,CourtManager,2579782,6452474,2596966,6495056,2582182,6458388,2582006,6457950,2589750,6477184
PerfCourtManager12@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager12,56,"Hereford",56,CourtManager,40280,100958,60760,151965,52248,130823,57432,143664,44760,112090
PerfCourtManager13@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager13,11,"Bolton Combined Court Centre",11,CourtManager,5696066,14245521,5716722,14297148,5687554,14224094,5705842,14270023,5679490,14203823
PerfCourtManager14@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager14,86,"Manchester Hilton Deansgate",86,CourtManager,1300400,3253256,1303504,3260957,1282704,3209257,1299072,3249931,1284592,3213963
PerfCourtManager15@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager15,142,"West Midlands Court Centre",142,CourtManager,5064040,12665637,5102200,12760964,5093784,12740015,5097288,12748676,5107384,12773859
PerfCourtManager16@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager16,99,"Nottingham Mercure Hotel",99,CourtManager,1590755,3978895,1592499,3983303,1586467,3968235,1604179,4012462,1602723,4008818
PerfCourtManager17@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager17,78,"Liverpool Crown Court",78,CourtManager,3805120,9517007,4099968,10254884,4076800,10196907,3938016,9849835,4034112,10089935
PerfCourtManager18@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager18,28,"Chester Crowne Plaza",28,CourtManager,1422803,3559418,1424035,3562517,1407491,3521132,1423683,3561597,1425507,3566208
PerfCourtManager19@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager19,12,"Bolton Stadium",12,CourtManager,516908,1292883,501676,1254897,502924,1258026,514748,1287470,520220,1301205
PerfCourtManager20@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager20,57,"Hove Trial Centre",57,CourtManager,4993870,12490110,4968686,12427270,4995886,12495154,4958894,12402845,4960558,12406975
PerfCourtManager21@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager21,42,"Derby Combined Court Centre",42,CourtManager,5877076,14697792,5866916,14672269,5845892,14619880,5854420,14641118,5813924,14540152
PerfCourtManager22@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager22,87,"Manchester Minshull Street",87,CourtManager,8856108,22145564,8779116,21953358,8742540,21862157,8824364,22066345,8750348,21881665
PerfCourtManager23@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager23,71,"Leicester",71,CourtManager,9434620,23591135,9397788,23498952,9467612,23674134,9443836,23614333,9437116,23597387
PerfCourtManager24@dev.platform.hmcts.net,PerfTester@01,PerfCourtManager24,100,"Oxford Combined Court Centre",100,CourtManager,7280977,18206950,7230945,18081863,7266017,18169542,7238785,18101606,7227905,18074153
