Email,Password,user_name,cth_id,courthouse_name,courthouse_code,Type,cas_id1,hea_id1,cas_id2,hea_id2,cas_id3,hea_id3,cas_id4,hea_id4,cas_id5,hea_id5
PerfJudge01@dev.platform.hmcts.net,PerfTester@01,PerfJudge01,72,"Leics Crown Sitting At Lough",72,Judge,10536577,26210288,462346,1156623,450235,1126406,457346,1144117,456746,1142617
PerfJudge02@dev.platform.hmcts.net,PerfTester@01,PerfJudge02,59,"Inner London",59,Judge,2794342,6989146,10777738,26419958,2839362,7102275,10787946,26430146,10768442,26410642
PerfJudge03@dev.platform.hmcts.net,PerfTester@01,PerfJudge03,21,"Cardiff",21,Judge,10384179,25965236,10288423,25726001,10771001,26413201,10531273,26203973,10533288,26206128
PerfJudge04@dev.platform.hmcts.net,PerfTester@01,PerfJudge04,31,"Chichester Combined Court Centre",31,Judge,10531485,26203332,10503971,26185283,1772067,4432308,1768796,4424097,1782485,4458339
PerfJudge05@dev.platform.hmcts.net,PerfTester@01,PerfJudge05,119,"Snaresbrook",119,Judge,2177858,5447043,1998455,4998824,10776554,26418734,10772248,26414448,2185176,26576185
PerfJudge06@dev.platform.hmcts.net,PerfTester@01,PerfJudge06,38,"Crown Court at Monument",38,Judge,1476256,3693079,1475787,3691867,1475001,3689869,10525926,26198168,1464735,3664230
PerfJudge07@dev.platform.hmcts.net,PerfTester@01,PerfJudge07,97,"Norwich Combined Court Centre",97,Judge,5889257,14728387,10767613,26409833,10535597,26208537,5894131,28850889,5908520,14776700
PerfJudge08@dev.platform.hmcts.net,PerfTester@01,PerfJudge08,147,"Wood Green",147,Judge,6873062,17187462,10767036,26408896,10536155,26210107,6863220,17162807,6771703,16934035
PerfJudge09@dev.platform.hmcts.net,PerfTester@01,PerfJudge09,108,"Preston Combined Court Centre",108,Judge,10768653,26410853,9910245,24781388,10866198,26497759,10536495,26209930,10517073,26189382
PerfJudge10@dev.platform.hmcts.net,PerfTester@01,PerfJudge10,151,"York",151,Judge,2748978,6875709,10523910,26196670,2748978,6875707,2726661,6820220,10532873,26205733
PerfJudge11@dev.platform.hmcts.net,PerfTester@01,PerfJudge11,68,"Leeds Combined Court Centre",68,Judge,3378609,8450501,3189142,28851485,3371747,8433423,3238183,8099462,3176890,7946448
PerfJudge12@dev.platform.hmcts.net,PerfTester@01,PerfJudge12,6,"Barrow-in-Furness",6,Judge,151645,379105,147884,369656,151687,379210,152386,28852424,145508,363672
PerfJudge13@dev.platform.hmcts.net,PerfTester@01,PerfJudge13,145,"Wolverhampton CC at Park Hall",145,Judge,2648795,6625030,12005808,28875677,10519028,26191808,10532277,26205137,2656784,6645222
PerfJudge14@dev.platform.hmcts.net,PerfTester@01,PerfJudge14,147,"Wood Green",147,Judge,6792976,16987217,10769831,26412131,10774051,26416251,10763021,26405521,10507244,26187324
PerfJudge15@dev.platform.hmcts.net,PerfTester@01,PerfJudge15,72,"Leics Crown Sitting At Lough",72,Judge,459909,28852226,455851,1140348,10535500,26208460,10525634,26198514,451226,1128840
PerfJudge16@dev.platform.hmcts.net,PerfTester@01,PerfJudge16,67,"Lancaster Ashton Hall",67,Judge,10523567,26195139,194970,487609,199539,499079,198065,495290,198065,495289
PerfJudge17@dev.platform.hmcts.net,PerfTester@01,PerfJudge17,53,"Harrow",53,Judge,10526196,26198936,10522655,26195495,8410038,21031362,10530341,26203261,10532869,26205729
PerfJudge18@dev.platform.hmcts.net,PerfTester@01,PerfJudge18,145,"Wolverhampton CC at Park Hall",145,Judge,2642890,6610366,2647721,6622351,10516553,26188381,10525580,26198440,2639439,6601735
PerfJudge19@dev.platform.hmcts.net,PerfTester@01,PerfJudge19,59,"Inner London",59,Judge,10504204,26185755,10770019,26412299,10504066,26185570,10480496,28845266,2919170,7302072
PerfJudge20@dev.platform.hmcts.net,PerfTester@01,PerfJudge20,83,"Maidstone Combined Court",83,Judge,7378819,18452181,10528492,26200776,10522881,26195741,7332286,18335624,10525285,26198185
PerfJudge21@dev.platform.hmcts.net,PerfTester@01,PerfJudge21,62,"Isleworth",62,Judge,10523335,26195897,10772685,26414885,8152652,20387911,10525479,26198399,10783849,26426049
PerfJudge22@dev.platform.hmcts.net,PerfTester@01,PerfJudge22,135,"Teesside Magistrates Court",135,Judge,182457,456418,184995,462703,10776996,26419196,187277,468423,179414,448766
PerfJudge23@dev.platform.hmcts.net,PerfTester@01,PerfJudge23,86,"Manchester Hilton Deansgate",86,Judge,1304238,3262779,1279565,3201397,1279945,3202344,10777430,26419630,10784210,26426410
PerfJudge24@dev.platform.hmcts.net,PerfTester@01,PerfJudge24,20,"Canterbury Combined Court Centre",20,Judge,9111295,22782374,9131437,22832897,10519153,26191953,9060501,22655510,9060326,22655076
PerfJudge25@dev.platform.hmcts.net,PerfTester@01,PerfJudge25,73,"Leonardo Hotel",73,Judge,930674,2328432,932296,2332485,10532105,26204825,932296,26577329,10520971,26193751
