hea_id,start_ts,end_ts,usr_id,defendant_name,judge_name
114127,2023-05-28T22:58:35.000z,2023-05-28T23:58:35.000z,365,Julie,His Honour Judge Ponce
114377,2023-08-04T02:18:21.000z,2023-08-04T03:18:21.000z,595,Naya,Thompson QC
114921,2024-05-27T07:15:16.000z,2024-05-27T08:15:16.000z,365,Justice,Default, Judge
121229,2024-05-23T04:22:16.000z,2024-05-23T05:22:16.000z,365,Demetrius,Her Honour Judge O???Neal
128261,2023-05-22T19:32:23.000z,2023-05-22T20:32:23.000z,365,Derrick,THE RECORDER OF HEREFORD
129173,2023-09-30T03:43:55.000z,2023-09-30T04:43:55.000z,365,Brecken,Her Honour Judge Rivera
156771,2024-03-22T08:16:36.000z,2024-03-22T09:16:36.000z,595,Franco,Her Honour Judge Barnett
193093,2024-05-23T12:18:17.000z,2024-05-23T13:18:17.000z,766,Ruth,HIS HONOUR JUDGE Cobb
194768,2023-11-20T21:29:21.000z,2023-11-20T22:29:21.000z,766,Emmalyn,THE RECORDER OF GUILDFORD CROWN COURT SITE B
198496,2024-03-30T10:08:13.000z,2024-03-30T11:08:13.000z,766,Nixon,HER HONOUR JUDGE Fleming
203459,2024-03-16T07:03:48.000z,2024-03-16T08:03:48.000z,361,Louise,Ayers QC
240925,2024-02-12T10:17:42.000z,2024-02-12T11:17:42.000z,714,Juniper,NONE
252037,2024-01-08T19:44:01.000z,2024-01-08T20:44:01.000z,714,Bryce,Gomez KC
257304,2024-02-14T10:05:12.000z,2024-02-14T11:05:12.000z,327,Dariel,Guerrero QC
260697,2023-08-09T12:09:09.000z,2023-08-09T13:09:09.000z,327,Maci,N/A
278459,2023-03-18T00:50:52.000z,2023-03-18T01:50:52.000z,327,Marcos,Hancock QC
282234,2024-04-25T22:45:07.000z,2024-04-25T23:45:07.000z,327,Aubree,NONE
284334,2023-04-20T19:55:28.000z,2023-04-20T20:55:28.000z,619,Hanna,NONE
325960,2023-05-05T20:02:20.000z,2023-05-05T21:02:20.000z,261,Adelaide,His Honour Judge Morales
348237,2023-11-15T19:40:55.000z,2023-11-15T20:40:55.000z,261,Olivia,THE RECORDER OF BARNSTAPLE
391000,2024-03-19T10:24:04.000z,2024-03-19T11:24:04.000z,281,Adriana,His Honour Judge Crosby
419063,2024-04-15T00:22:28.000z,2024-04-15T01:22:28.000z,841,Dax,Her Honour Judge Santana
429515,2024-01-24T15:46:59.000z,2024-01-24T16:46:59.000z,581,Macie,Nash KC
432663,2023-05-08T04:54:46.000z,2023-05-08T05:54:46.000z,581,Thiago,Clay KC
436953,2024-04-21T17:40:20.000z,2024-04-21T18:40:20.000z,581,Corbin,THE RECORDER OF PNE [TOM FINNEY STAND]
439204,2023-11-12T20:22:21.000z,2023-11-12T21:22:21.000z,581,Ryleigh,His Honour Judge Mason
443417,2024-04-03T00:53:14.000z,2024-04-03T01:53:14.000z,581,Violette,NONE
445783,2023-08-16T18:58:13.000z,2023-08-16T19:58:13.000z,644,Finn,Blanchard QC
453394,2023-04-06T08:50:00.000z,2023-04-06T09:50:00.000z,644,Ayden,Watts QC
458910,2024-03-11T19:21:27.000z,2024-03-11T20:21:27.000z,644,Trevor,N/A
471533,2023-05-07T19:49:43.000z,2023-05-07T20:49:43.000z,821,Wilson,Dickerson KC
478022,2023-07-03T09:30:48.000z,2023-07-03T10:30:48.000z,786,Maci,NONE
485717,2023-03-16T00:57:33.000z,2023-03-16T01:57:33.000z,543,Thaddeus,N/A
517538,2023-12-05T12:15:58.000z,2023-12-05T13:15:58.000z,464,Brynn,Duke QC
521012,2023-07-18T02:34:36.000z,2023-07-18T03:34:36.000z,746,Linda,Default, Judge
523810,2024-04-04T05:32:45.000z,2024-04-04T06:32:45.000z,746,Wilson,HER HONOUR JUDGE Barker
533367,2023-03-13T12:37:52.000z,2023-03-13T13:37:52.000z,746,Brynn,HIS HONOUR JUDGE Barton
558961,2023-07-06T09:04:25.000z,2023-07-06T10:04:25.000z,745,Serena,Default, Judge
561081,2024-02-29T09:00:52.000z,2024-02-29T10:00:52.000z,463,Thea,HIS HONOUR JUDGE Houston
564483,2024-05-03T03:53:55.000z,2024-05-03T04:53:55.000z,745,Taylor,Quintana KC
564709,2023-05-13T21:46:38.000z,2023-05-13T22:46:38.000z,745,Owen,Lopez KC
578519,2023-03-04T13:01:00.000z,2023-03-04T14:01:00.000z,7853,Chelsea,His Honour Judge Bush
590285,2023-11-11T11:05:37.000z,2023-11-11T12:05:37.000z,282,Haley,Her Honour Judge Marshall
600836,2023-04-19T19:18:01.000z,2023-04-19T20:18:01.000z,282,Fernanda,HER HONOUR JUDGE Velasquez
607180,2024-01-09T10:52:53.000z,2024-01-09T11:52:53.000z,7853,Layton,His Honour Judge Salinas
