hea_id,case_number,cas_id,cth_id,courthouse_name,usr_id,Email,Password
333053,T202300409,133335,4,BARNSTAPLE,261,PerfCourtClerk02@dev.platform.hmcts.net,PerfTester@01
22919939,T202401646,9166242,10,BLACKFRIARS,281,PerfCourtClerk03@dev.platform.hmcts.net,PerfTester@01
618547,T202301130,247271,1,4 NEWTON STREET,282,PerfCourtClerk05@dev.platform.hmcts.net,PerfTester@01
3450294,T202301477,1379250,2,AMERSHAM LAW COURTS,283,PerfCourtClerk13@dev.platform.hmcts.net,PerfTester@01
15864936,T202301256,6343913,3,AYLESBURY,284,PerfCourtClerk18@dev.platform.hmcts.net,PerfTester@01
372284,T202400584,148936,6,BARROW-IN-FURNESS,285,PerfCourtClerk26@dev.platform.hmcts.net,PerfTester@01
25129186,T202304842,10049417,13,BOURNEMOUTH CROWN AND COUNTY COURTS,286,PerfCourtClerk34@dev.platform.hmcts.net,PerfTester@01
17593847,T202308493,7035711,14,BRADFORD,287,PerfCourtClerk42@dev.platform.hmcts.net,PerfTester@01
3763485,T202301301,1504434,7,BASILDON,301,PerfCourtClerk04@dev.platform.hmcts.net,PerfTester@01
6953903,T202301839,2780266,15,BRIGHTON MAGISTRATES COURT,302,PerfCourtClerk08@dev.platform.hmcts.net,PerfTester@01
23191295,T202300426,9274747,16,BRISTOL,303,PerfCourtClerk14@dev.platform.hmcts.net,PerfTester@01
12346894,T202302095,4936493,34,COVENTRY CROWN COURT,304,PerfCourtClerk21@dev.platform.hmcts.net,PerfTester@01
16241715,T202400295,6494940,35,COVERDALE HOUSE,305,PerfCourtClerk27@dev.platform.hmcts.net,PerfTester@01
1338927,T202300735,535356,36,CROWN COURT AT ALDERSGATE HOUSE,306,PerfCourtClerk33@dev.platform.hmcts.net,PerfTester@01
3595706,T202400310,1437379,37,CROWN COURT AT HOLBORN,307,PerfCourtClerk39@dev.platform.hmcts.net,PerfTester@01
3648983,T202400042,1458691,38,CROWN COURT AT MONUMENT,308,PerfCourtClerk45@dev.platform.hmcts.net,PerfTester@01
2289126,T202301262,915000,39,CROWN COURT SITTING AT BARCLAY ROAD,321,PerfCourtClerk06@dev.platform.hmcts.net,PerfTester@01
21396098,T202303510,8556026,40,CROYDON,322,PerfCourtClerk12@dev.platform.hmcts.net,PerfTester@01
3373660,T202301165,1348657,41,CROYDON JURYS INN,323,PerfCourtClerk19@dev.platform.hmcts.net,PerfTester@01
14648175,T202302841,5857267,42,DERBY,324,PerfCourtClerk25@dev.platform.hmcts.net,PerfTester@01
4299809,T202400317,1719092,43,DONCASTER,325,PerfCourtClerk31@dev.platform.hmcts.net,PerfTester@01
1024421,T202300872,409547,44,DONCASTER CROWN COURT,326,PerfCourtClerk37@dev.platform.hmcts.net,PerfTester@01
272281,T202300490,109031,45,DORCHESTER,327,PerfCourtClerk43@dev.platform.hmcts.net,PerfTester@01
26149340,T202301577,10457980,46,DURHAM,341,PerfCourtClerk07@dev.platform.hmcts.net,PerfTester@01
23921098,T202302643,9566224,47,EXETER,342,PerfCourtClerk15@dev.platform.hmcts.net,PerfTester@01
15774570,T202311798,6307784,48,FIELD HOUSE,343,PerfCourtClerk20@dev.platform.hmcts.net,PerfTester@01
4279435,T202301404,1710883,49,GLOUCESTER,344,PerfCourtClerk28@dev.platform.hmcts.net,PerfTester@01
