tra_id,cth_id,courthouse_name,created_by,usr_id,Email, Password
12752,9,"Birmingham Library and Rep",261,634,PerfCourtManager01@dev.platform.hmcts.net,PerfTester@01
13222,127,"Swansea",607,713,PerfCourtManager02@dev.platform.hmcts.net,PerfTester@01
13462,140,"Warrington Combined Court Centre",649,613,PerfCourtManager03@dev.platform.hmcts.net,PerfTester@01
12832,68,"Leeds Combined Court Centre",448,594,PerfCourtManager04@dev.platform.hmcts.net,PerfTester@01
13102,1,"Birmingham Crown Court sitting at 4 Newton Street",282,574,PerfCourtManager05@dev.platform.hmcts.net,PerfTester@01
13902,85,"Manchester Crown Square",848,694,PerfCourtManager06@dev.platform.hmcts.net,PerfTester@01
12682,10,"Blackfriars",281,635,PerfCourtManager07@dev.platform.hmcts.net,PerfTester@01
13582,98,"Nottingham",504,653,PerfCourtManager08@dev.platform.hmcts.net,PerfTester@01
13332,40,"Croydon",322,614,PerfCourtManager09@dev.platform.hmcts.net,PerfTester@01
13252,84,"Maidstone CC Great Danes Hotel",468,750,PerfCourtManager100@dev.platform.hmcts.net,PerfTester@01
13872,128,"Swansea Civic Centre",608,714,PerfCourtManager10@dev.platform.hmcts.net,PerfTester@01
12632,69,"Leeds Cloth Hall Court",545,575,PerfCourtManager11@dev.platform.hmcts.net,PerfTester@01
12712,56,"Hereford",365,595,PerfCourtManager12@dev.platform.hmcts.net,PerfTester@01
12892,11,"Bolton Combined Court Centre",285,636,PerfCourtManager13@dev.platform.hmcts.net,PerfTester@01
12742,86,"Manchester Hilton Deansgate",481,695,PerfCourtManager14@dev.platform.hmcts.net,PerfTester@01
12962,41,"Croydon Jurys Inn",323,615,PerfCourtManager15@dev.platform.hmcts.net,PerfTester@01
13432,99,"Nottingham Mercure Hotel",505,654,PerfCourtManager16@dev.platform.hmcts.net,PerfTester@01
13112,78,"Liverpool Crown Court",546,576,PerfCourtManager17@dev.platform.hmcts.net,PerfTester@01
13390,28,"Chester Crowne Plaza",441,715,PerfCourtManager18@dev.platform.hmcts.net,PerfTester@01
12942,12,"Bolton Stadium",301,637,PerfCourtManager19@dev.platform.hmcts.net,PerfTester@01
12922,57,"Hove Trial Centre",381,596,PerfCourtManager20@dev.platform.hmcts.net,PerfTester@01
13672,143,"Winchester Combined Court Centre",652,616,PerfCourtManager21@dev.platform.hmcts.net,PerfTester@01
12532,87,"Manchester Minshull Street",683,696,PerfCourtManager22@dev.platform.hmcts.net,PerfTester@01
12872,71,"Leicester",667,577,PerfCourtManager23@dev.platform.hmcts.net,PerfTester@01
13322,100,"Oxford Combined Court Centre",506,655,PerfCourtManager24@dev.platform.hmcts.net,PerfTester@01
13562,13,"Bournemouth Combined Court Centre",286,638,PerfCourtManager25@dev.platform.hmcts.net,PerfTester@01
13032,130,"Swindon Combined Court Centre",610,716,PerfCourtManager26@dev.platform.hmcts.net,PerfTester@01
13282,43,"Doncaster",325,617,PerfCourtManager27@dev.platform.hmcts.net,PerfTester@01
13662,58,"Crown Court sitting at Huntingdon Law Courts",382,597,PerfCourtManager28@dev.platform.hmcts.net,PerfTester@01
13722,72,"Leics Crown Sitting At Lough",428,578,PerfCourtManager29@dev.platform.hmcts.net,PerfTester@01
13192,88,"Birmingham Maple House",483,697,PerfCourtManager30@dev.platform.hmcts.net,PerfTester@01
13502,14,"Bradford Combined Court Centre",287,639,PerfCourtManager31@dev.platform.hmcts.net,PerfTester@01
