Email,Password,user_name,cth_id,courthouse_name,courthouse_code,Type,cas_id1,hea_id1,cas_id2,hea_id2,cas_id3,hea_id3,cas_id4,hea_id4,cas_id5,hea_id5
PerfCourtClerk01@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk01,85,"Manchester Crown Square",85,CourtClerk,7693156,19238052,7775172,19443202,7788372,19476458,7757060,19398148,7775172,19443202
PerfCourtClerk02@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk02,4,"Barnstaple",4,CourtClerk,135368,338213,139256,347967,129592,323736,129544,323623,139256,347969
PerfCourtClerk03@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk03,5,"Barons Court Walsall",5,CourtClerk,156264,390645,161208,403038,159048,397612,157384,393473,158376,395937
PerfCourtClerk04@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk04,12,"Bolton Stadium",12,CourtClerk,516908,1292885,499820,1250272,509692,1274969,499820,1250273,499692,1249939
PerfCourtClerk05@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk05,1,"Birmingham Crown Court sitting at 4 Newton Street",1,CourtClerk,242776,607225,314552,786807,255480,639250,303544,759417,237256,593449
PerfCourtClerk06@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk06,39,"Croydon Crown Court sitting at Barclay Road",39,CourtClerk,905913,2266315,895097,2239271,905257,2264678,913353,2285027,905257,2264678
PerfCourtClerk07@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk07,46,"Durham",46,CourtClerk,10444157,26114711,10440429,26105442,10457533,26148177,10439021,26101901,10449645,26128526
PerfCourtClerk08@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk08,15,"Crown Court sitting at Brighton Magistrates Court",15,CourtClerk,2766203,6918720,2772139,6933438,2787147,6971149,2766203,6918720,2758555,6899548
PerfCourtClerk09@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk09,52,"Guildford Crown Court Site B",52,CourtClerk,76984,192531,86520,216198,80376,200982,77240,193170,86552,216279
PerfCourtClerk100@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk100,94,"Newport Gwent",94,CourtClerk,5287693,13224878,5241101,13108137,5248589,13126891,5253917,13140219,5299501,13254556
PerfCourtClerk101@dev.platform.hmcts.net,PerfTester@01,PerfCourtClerk101,105,"Preston Invincibles Pavilion",105,CourtClerk,326586,816976,326490,816744,324810,812480,319786,799938,319866,800135
