Email,Password,user_name,cth_id,courthouse_name,courthouse_code,Type,cas_id1,hea_id1,cas_id2,hea_id2,cas_id3,hea_id3,cas_id4,hea_id4,cas_id5,hea_id5
PerfJudge01@dev.platform.hmcts.net,PerfTester@01,PerfJudge01,52,"Guildford Crown Court Site B",52,Judge,85686,214139,87271,218101,81981,204890,77819,194579,83066,207621
PerfJudge02@dev.platform.hmcts.net,PerfTester@01,PerfJudge02,151,"York",151,Judge,2743274,6861483,10772870,26415070,2743274,6861485,10529998,26202938,10533994,26206614
PerfJudge03@dev.platform.hmcts.net,PerfTester@01,PerfJudge03,3,"Aylesbury",3,Judge,10506086,26186461,10535879,26208839,10532492,26204994,10505544,26186925,10538697,26212766
PerfJudge04@dev.platform.hmcts.net,PerfTester@01,PerfJudge04,77,"Lincoln Combined Court Centre",77,Judge,10503545,26184821,10769552,26411192,10530282,26204013,2473378,6186123,10500124,26182537
PerfJudge05@dev.platform.hmcts.net,PerfTester@01,PerfJudge05,110,"Prospero House",110,Judge,10538522,26212094,10788188,26430388,10508032,26187759,4248158,26577045,4243949,10615435
PerfJudge06@dev.platform.hmcts.net,PerfTester@01,PerfJudge06,143,"Winchester Combined Court Centre",143,Judge,10530932,26203416,8699677,21755011,8669930,21680919,10500082,26182715,10529427,26201315
PerfJudge07@dev.platform.hmcts.net,PerfTester@01,PerfJudge07,57,"Hove Trial Centre",57,Judge,4980226,12456022,10537098,26210454,10769334,26411474,10767179,26409459,10773629,26415829
PerfJudge08@dev.platform.hmcts.net,PerfTester@01,PerfJudge08,103,"Peterborough Magistrates Court",103,Judge,10499758,26182850,10539143,26211823,10500412,26183132,10779955,26422155,10501665,26183215
PerfJudge09@dev.platform.hmcts.net,PerfTester@01,PerfJudge09,18,"Caernarfon",18,Judge,1671760,4181754,1667088,26576328,1671463,4180986,10770660,26412860,10778103,26420303
PerfJudge10@dev.platform.hmcts.net,PerfTester@01,PerfJudge10,91,"Mold",91,Judge,788610,1972453,780416,1951985,10500732,26183432,788610,26578765,780594,1952443
PerfJudge11@dev.platform.hmcts.net,PerfTester@01,PerfJudge11,150,"Worcester Combined Court Centre",150,Judge,10531290,26204168,10505968,26186728,10767616,26409836,1210496,3028445,10536606,26209306
PerfJudge12@dev.platform.hmcts.net,PerfTester@01,PerfJudge12,4,"Barnstaple",4,Judge,134344,335629,131103,28875106,136173,340199,129200,322785,132379,330647
PerfJudge13@dev.platform.hmcts.net,PerfTester@01,PerfJudge13,81,"Luton",81,Judge,10762790,26404930,10534132,26206812,10769971,26412111,10530322,26206686,10532293,26205153
PerfJudge14@dev.platform.hmcts.net,PerfTester@01,PerfJudge14,145,"Wolverhampton CC at Park Hall",145,Judge,10531579,26204239,2640598,6604646,10773219,26415419,10504676,26186507,10613470,26279130
PerfJudge15@dev.platform.hmcts.net,PerfTester@01,PerfJudge15,18,"Caernarfon",18,Judge,1672528,4183622,10507625,26187512,1680914,26578448,1674029,26575848,10500947,26183627
PerfJudge16@dev.platform.hmcts.net,PerfTester@01,PerfJudge16,1006,"Burnley CC Sitting at Burnley MC",,Judge,,,,,,,,,,
PerfJudge17@dev.platform.hmcts.net,PerfTester@01,PerfJudge17,148,"Wood Green at Hendon MC",148,Judge,10767622,26409842,1035390,26575739,1078393,26576013,1024102,2562327,10777248,26419448
PerfJudge18@dev.platform.hmcts.net,PerfTester@01,PerfJudge18,127,"Swansea",127,Judge,5636243,14095981,10769840,26412140,10864957,26496162,12475020,28092460,5595711,26577783
PerfJudge19@dev.platform.hmcts.net,PerfTester@01,PerfJudge19,41,"Croydon Jurys Inn",41,Judge,1331133,26578676,1353721,3386298,10537775,26210675,1348706,3373775,1333036,3334650
PerfJudge20@dev.platform.hmcts.net,PerfTester@01,PerfJudge20,66,"Lancaster",66,Judge,1310520,3278482,10866148,26497556,10535252,26208092,10505553,26186448,1309096,3274956
PerfJudge21@dev.platform.hmcts.net,PerfTester@01,PerfJudge21,6,"Barrow-in-Furness",6,Judge,145380,363362,146419,365993,10769812,26411352,142435,355987,149659,374128
PerfJudge22@dev.platform.hmcts.net,PerfTester@01,PerfJudge22,82,"M40 J15 Warwick Hotel",82,Judge,10534461,26207281,1642042,26577566,10532127,26204411,1658873,4149517,1659639,4151461
PerfJudge23@dev.platform.hmcts.net,PerfTester@01,PerfJudge23,150,"Worcester Combined Court Centre",150,Judge,10538699,26212768,10505224,26186064,10505596,26186532,10776475,26418675,10505035,26185544
PerfJudge24@dev.platform.hmcts.net,PerfTester@01,PerfJudge24,24,"Central Criminal Court",24,Judge,10529407,26202147,10777323,26419523,4876121,12195887,10767612,26409832,10774450,26416650
PerfJudge25@dev.platform.hmcts.net,PerfTester@01,PerfJudge25,103,"Peterborough Magistrates Court",103,Judge,10865737,26497124,2410828,6029896,10767495,26409695,10535243,26208083,2430044,6077876
